epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28410.6,0.90248,0.5063,1.05089,0.9563,0.92146,0.96658,0.83654,0.49983,0.29929,0.87631,0.0005941,0.0005941,0.0005941
43,29432.9,0.90583,0.50109,1.04786,0.95465,0.92125,0.9665,0.83622,0.49978,0.29623,0.87632,0.0005842,0.0005842,0.0005842
44,30308.7,0.89734,0.4957,1.04622,0.95856,0.91843,0.96517,0.83607,0.49919,0.29484,0.87488,0.0005743,0.0005743,0.0005743
45,31353.3,0.88912,0.49194,1.04101,0.9586,0.9257,0.96807,0.84012,0.49865,0.29084,0.875,0.0005644,0.0005644,0.0005644
46,32398.2,0.89178,0.49045,1.04219,0.96329,0.92316,0.96749,0.83913,0.49627,0.28745,0.87392,0.0005545,0.0005545,0.0005545
47,33443.4,0.87209,0.48081,1.03481,0.96431,0.92303,0.96745,0.84013,0.49277,0.28476,0.87277,0.0005446,0.0005446,0.0005446
48,34322.1,0.87536,0.47702,1.03403,0.96013,0.92615,0.96859,0.84098,0.49188,0.28431,0.87209,0.0005347,0.0005347,0.0005347
49,35199.8,0.87461,0.4803,1.03129,0.95524,0.92407,0.96632,0.8398,0.48855,0.28554,0.87012,0.0005248,0.0005248,0.0005248
50,36275.9,0.87004,0.47428,1.03023,0.95238,0.92915,0.96674,0.84313,0.48812,0.28601,0.86857,0.0005149,0.0005149,0.0005149
51,37352.1,0.86458,0.47312,1.02884,0.95788,0.92416,0.96818,0.84326,0.48612,0.28266,0.86738,0.000505,0.000505,0.000505
52,38229.1,0.86066,0.46526,1.02792,0.96391,0.92491,0.96907,0.84604,0.48591,0.27922,0.86726,0.0004951,0.0004951,0.0004951
53,39259.4,0.85422,0.46891,1.02879,0.96218,0.92571,0.97007,0.84625,0.48509,0.27786,0.8671,0.0004852,0.0004852,0.0004852
54,40281.5,0.85111,0.46657,1.02268,0.96542,0.92361,0.97024,0.84602,0.48313,0.27716,0.86631,0.0004753,0.0004753,0.0004753
55,41302.3,0.84905,0.45927,1.0175,0.9605,0.92621,0.97026,0.84757,0.4811,0.27672,0.86601,0.0004654,0.0004654,0.0004654
56,42324.6,0.83613,0.45325,1.01625,0.95743,0.92817,0.96916,0.84847,0.4793,0.27736,0.86511,0.0004555,0.0004555,0.0004555
57,43346.8,0.84244,0.4531,1.01562,0.95949,0.92502,0.96954,0.84744,0.47756,0.27533,0.86502,0.0004456,0.0004456,0.0004456
58,44369.5,0.8424,0.45546,1.01822,0.95814,0.92985,0.96948,0.84853,0.47708,0.27376,0.86445,0.0004357,0.0004357,0.0004357
59,45392.7,0.8407,0.4531,1.01804,0.96412,0.92353,0.9697,0.84949,0.47611,0.27233,0.86479,0.0004258,0.0004258,0.0004258
60,46254.3,0.82733,0.43802,1.0118,0.96046,0.92655,0.97041,0.84997,0.4753,0.27128,0.86433,0.0004159,0.0004159,0.0004159
61,47276.5,0.82589,0.44621,1.00904,0.95859,0.92757,0.97031,0.85053,0.47352,0.26936,0.86318,0.000406,0.000406,0.000406
62,48298.7,0.82462,0.44116,1.0089,0.95701,0.93045,0.97019,0.85089,0.47208,0.26868,0.86232,0.0003961,0.0003961,0.0003961
63,49322.6,0.82119,0.44309,1.00589,0.95911,0.92991,0.97028,0.85187,0.47053,0.26805,0.86186,0.0003862,0.0003862,0.0003862
64,50346.1,0.81825,0.43981,1.00975,0.96144,0.9269,0.97003,0.85189,0.46901,0.26789,0.86159,0.0003763,0.0003763,0.0003763
65,51368.1,0.81366,0.43456,1.00361,0.96269,0.92643,0.97105,0.85281,0.46787,0.26719,0.86071,0.0003664,0.0003664,0.0003664
66,52600.5,0.80794,0.43483,1.00493,0.96702,0.92425,0.97102,0.8535,0.46657,0.26659,0.86034,0.0003565,0.0003565,0.0003565
67,53832.2,0.80883,0.42874,1.0053,0.96431,0.92748,0.97076,0.8541,0.4656,0.26566,0.85991,0.0003466,0.0003466,0.0003466
68,54694.4,0.80302,0.42838,1.00338,0.96422,0.92771,0.97051,0.85499,0.46483,0.26574,0.85944,0.0003367,0.0003367,0.0003367
69,55718.3,0.80479,0.42793,1.00028,0.96518,0.92653,0.97064,0.85416,0.46421,0.26415,0.85915,0.0003268,0.0003268,0.0003268
70,56742.4,0.79109,0.4167,0.99362,0.96834,0.92487,0.97067,0.85456,0.46342,0.26313,0.85893,0.0003169,0.0003169,0.0003169
71,57799,0.79558,0.42077,0.99394,0.96837,0.9246,0.97068,0.85494,0.46231,0.26258,0.85859,0.000307,0.000307,0.000307
